date_mutation;valeur_fonciere;code_postal;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;surface_terrain;latitude;longitude
04/01/2019;1196000;75001;2;Appartement;112;3;;48.868416;2.325288
03/01/2019;1570490;75003;2;Appartement;104;3;;48.860305;2.363076
03/01/2019;1570490;75003;3;Dependance;;0;;48.860305;2.363076
08/01/2019;100000;75008;3;Dependance;;0;;48.869577;2.300028
03/01/2019;5400;75003;2;Appartement;21;1;;48.864674;2.353479
10/01/2019;230000;75003;2;Appartement;26;1;;48.868615;2.354961
04/01/2019;47500;75003;3;Dependance;;0;;48.86205;2.357892
05/01/2019;955750;75008;2;Appartement;80;3;;48.880118;2.314393
07/01/2019;506800;75003;2;Appartement;45;2;;48.865675;2.362024
07/01/2019;565950;75008;2;Appartement;55;3;;48.879965;2.317442
07/01/2019;565950;75008;3;Dependance;;0;;48.879965;2.317442
09/01/2019;582000;75003;2;Appartement;41;2;;48.860861;2.366022
09/01/2019;200000;75008;2;Appartement;28;1;;48.874098;2.305499
08/01/2019;2638500;75008;2;Appartement;260;8;;48.878463;2.302062
07/01/2019;1935600;75001;2;Appartement;66;2;;48.865114;2.337119
08/01/2019;90000;75001;3;Dependance;;0;;48.865114;2.337119
09/01/2019;209000;75001;2;Appartement;19;1;;48.866524;2.337476
07/01/2019;300000;75003;2;Appartement;28;1;;48.865995;2.361632
11/01/2019;43000;75001;3;Dependance;;0;;48.864313;2.332096
11/01/2019;752400;75001;2;Appartement;75;3;;48.864218;2.345875
10/01/2019;124000;75008;2;Appartement;13;1;;48.8828;2.325916
11/01/2019;530000;75001;2;Appartement;46;2;;48.858427;2.343732
04/01/2019;1200000;75008;2;Appartement;117;4;;48.879571;2.320475
17/01/2019;390000;75008;4;Local_indu_com_ou_assimile;81;0;;48.873545;2.322174
14/01/2019;755000;75003;2;Appartement;58;2;;48.860212;2.362446
10/01/2019;170250;75003;2;Appartement;15;1;;48.864942;2.35929
11/01/2019;165000;75003;2;Appartement;10;1;;48.859369;2.358667
03/01/2019;400000;75008;4;Local_indu_com_ou_assimile;33;0;;48.871789;2.311874
07/01/2019;2400000;75008;2;Appartement;227;7;;48.879163;2.305477
07/01/2019;2400000;75008;2;Appartement;115;3;;48.879163;2.305477
21/01/2019;40000;75008;3;Dependance;;0;;48.872288;2.307635
04/01/2019;130000;75003;2;Appartement;9;1;;48.863236;2.359208
14/01/2019;755000;75003;2;Appartement;57;2;;48.865153;2.358805
15/01/2019;2700000;75008;2;Appartement;210;7;;48.874682;2.299088
18/01/2019;5000;75008;4;Local_indu_com_ou_assimile;104;0;;48.873462;2.316377
10/01/2019;537600;75003;2;Appartement;50;2;;48.862814;2.354779
04/01/2019;190000;75008;3;Dependance;;0;;48.882178;2.32275
04/01/2019;190000;75008;2;Appartement;25;1;;48.882178;2.32275
09/01/2019;2000000;75003;2;Appartement;146;5;;48.863487;2.365031
07/01/2019;670000;75003;2;Appartement;60;1;;48.867976;2.357706
09/01/2019;187000;75008;2;Appartement;15;2;;48.871391;2.320184
08/01/2019;955000;75008;2;Appartement;95;4;;48.881136;2.323436
10/01/2019;528000;75001;2;Appartement;45;2;;48.858173;2.345633
02/01/2019;118000;75008;2;Appartement;14;1;;48.882193;2.322569
17/01/2019;45000;75003;3;Dependance;;0;;48.859077;2.365997
15/01/2019;1550000;75008;3;Dependance;;0;;48.876272;2.315018
15/01/2019;1550000;75008;2;Appartement;18;2;;48.876272;2.315018
15/01/2019;1550000;75008;2;Appartement;115;5;;48.876272;2.315018
07/01/2019;500000;75008;2;Appartement;41;2;;48.870831;2.325904
04/01/2019;1975000;75001;2;Appartement;187;6;;48.860291;2.348171
14/01/2019;35000;75008;3;Dependance;;0;;48.872624;2.303752
14/01/2019;10500;75003;3;Dependance;;0;;48.859331;2.362974
15/01/2019;55000;75008;3;Dependance;;0;;48.876388;2.303375
07/01/2019;1800000;75003;2;Appartement;145;5;;48.858951;2.367312
17/01/2019;560000;75003;2;Appartement;45;2;;48.862412;2.356287
15/01/2019;6500000;75008;4;Local_indu_com_ou_assimile;13;0;;48.877218;2.309228
15/01/2019;6500000;75008;4;Local_indu_com_ou_assimile;526;0;;48.877218;2.309228
15/01/2019;6500000;75008;4;Local_indu_com_ou_assimile;13;0;;48.877218;2.309228
21/01/2019;400000;75008;2;Appartement;36;2;;48.879583;2.319673
16/01/2019;1800000;75008;3;Dependance;;0;;48.872459;2.315713
16/01/2019;1800000;75008;2;Appartement;172;4;;48.872459;2.315713
04/01/2019;750000;75003;2;Appartement;88;4;;48.867925;2.353976
14/01/2019;1150000;75001;4;Local_indu_com_ou_assimile;100;0;;48.858282;2.346602
03/01/2019;1595000;75003;3;Dependance;;0;;48.856547;2.366558
03/01/2019;1595000;75003;2;Appartement;77;4;;48.856547;2.366558
03/01/2019;1595000;75003;4;Local_indu_com_ou_assimile;15;0;;48.856547;2.366558
08/01/2019;914000;75003;4;Local_indu_com_ou_assimile;103;0;;48.863758;2.354542
24/01/2019;675000;75008;2;Appartement;64;3;;48.882453;2.324644
18/01/2019;2350000;75008;2;Appartement;217;7;;48.876522;2.310891
18/01/2019;2350000;75008;3;Dependance;;0;;48.876522;2.310891
21/01/2019;1028700;75008;2;Appartement;90;3;;48.878744;2.316078
