date_mutation,valeur_fonciere,code_postal,type_local,surface,nombre_pieces_principales
04/01/2019,1196000,75001,Appartement,112,3
03/01/2019,1570490,75003,Appartement,104,3
03/01/2019,5400,75003,Appartement,21,1
10/01/2019,230000,75003,Appartement,26,1
05/01/2019,955750,75008,Appartement,80,3
07/01/2019,506800,75003,Appartement,45,2
07/01/2019,565950,75008,Appartement,55,3
09/01/2019,582000,75003,Appartement,41,2
09/01/2019,200000,75008,Appartement,28,1
08/01/2019,2638500,75008,Appartement,260,8
07/01/2019,1935600,75001,Appartement,66,2
09/01/2019,209000,75001,Appartement,19,1
07/01/2019,300000,75003,Appartement,28,1
11/01/2019,752400,75001,Appartement,75,3
10/01/2019,124000,75008,Appartement,13,1
11/01/2019,530000,75001,Appartement,46,2
04/01/2019,1200000,75008,Appartement,117,4
17/01/2019,390000,75008,Local industriel. commercial ou assimilé,81,0
14/01/2019,755000,75003,Appartement,58,2
10/01/2019,170250,75003,Appartement,15,1
11/01/2019,165000,75003,Appartement,10,1
03/01/2019,400000,75008,Local industriel. commercial ou assimilé,33,0
07/01/2019,2400000,75008,Appartement,227,7
07/01/2019,2400000,75008,Appartement,115,3
04/01/2019,130000,75003,Appartement,9,1
14/01/2019,755000,75003,Appartement,57,2
15/01/2019,2700000,75008,Appartement,210,7
18/01/2019,5000,75008,Local industriel. commercial ou assimilé,104,0
10/01/2019,537600,75003,Appartement,50,2
04/01/2019,190000,75008,Appartement,25,1
09/01/2019,2000000,75003,Appartement,146,5
07/01/2019,670000,75003,Appartement,60,1
09/01/2019,187000,75008,Appartement,15,2
08/01/2019,955000,75008,Appartement,95,4
10/01/2019,528000,75001,Appartement,45,2
02/01/2019,118000,75008,Appartement,14,1
15/01/2019,1550000,75008,Appartement,18,2
15/01/2019,1550000,75008,Appartement,115,5
07/01/2019,500000,75008,Appartement,41,2
04/01/2019,1975000,75001,Appartement,187,6
07/01/2019,1800000,75003,Appartement,145,5
17/01/2019,560000,75003,Appartement,45,2
15/01/2019,6500000,75008,Local industriel. commercial ou assimilé,13,0
15/01/2019,6500000,75008,Local industriel. commercial ou assimilé,526,0
