valeur_fonciere,code_postal,type_local,surface,nombre_pieces_principales,month,year
1196000,75001,0,1272,3,1,2019
1196000,75001,0,1272,3,5,2020
275400,94520,1,83,5,1,2019
275400,94520,1,83,5,5,2020
1570490,75003,0,1272,3,1,2019
1570490,75003,0,1272,3,5,2020
549000,91480,1,145,6,1,2019
549000,91480,1,145,6,5,2020
1570490,75003,2,1272,7,1,2019
1570490,75003,2,1272,7,5,2020
159500,91860,0,96,5,1,2019
159500,91860,0,96,5,5,2020
100000,75008,2,1272,7,1,2019
100000,75008,2,1272,7,5,2020
174500,94520,0,52,2,1,2019
174500,94520,0,52,2,5,2020
5400,75003,0,1272,1,1,2019
5400,75003,0,1272,1,5,2020
419000,91480,1,100,4,1,2019
419000,91480,1,100,4,5,2020
230000,75003,0,1272,1,1,2019
230000,75003,0,1272,1,5,2020
620000,94520,1,200,8,1,2019
620000,94520,1,200,8,5,2020
47500,75003,2,1272,7,1,2019
47500,75003,2,1272,7,5,2020
284500,94520,1,98,4,1,2019
284500,94520,1,98,4,5,2020
955750,75008,0,1272,3,1,2019
955750,75008,0,1272,3,5,2020
225000,77200,0,99,4,1,2019
225000,77200,0,99,4,5,2020
506800,75003,0,1272,2,1,2019
506800,75003,0,1272,2,5,2020
99000,91230,0,36,1,1,2019
99000,91230,0,36,1,5,2020
565950,75008,0,1272,3,1,2019
565950,75008,0,1272,3,5,2020
250000,77000,1,90,5,1,2019
250000,77000,1,90,5,5,2020
565950,75008,2,1272,7,1,2019
565950,75008,2,1272,7,5,2020
960000,95350,1,293,10,1,2019
960000,95350,1,293,10,5,2020
582000,75003,0,1272,2,1,2019
582000,75003,0,1272,2,5,2020
540000,92150,0,70,3,1,2019
540000,92150,0,70,3,5,2020
200000,75008,0,1272,1,1,2019
200000,75008,0,1272,1,5,2020
1170000,75002,0,85,4,1,2019
1170000,75002,0,85,4,5,2020
2638500,75008,0,1272,8,1,2019
2638500,75008,0,1272,8,5,2020
155000,91000,0,67,3,1,2019
